Name,Industry,Sector,Headquarters,Founded,Notes
DWAO-TV,Consumer services,Broadcasting & entertainment,Caloocan,1999,"Television, part of Progressive Broadcasting Corporation"
DZCE-TV,Consumer services,Broadcasting & entertainment,Quezon City,2005,Also known as INC TV
Eagle Broadcasting Corporation,Consumer services,Broadcasting & entertainment,Quezon City,1968,"Broadcaster radio, television, digital media, films, music and web portals"
Eastern Telecommunications Philippines,Telecommunications,Fixed line telecommunications,Makati,1878,Broadband
EastWest Bank,Financials,Banks,Taguig,1994,"Universal bank, part of Filinvest"
Energy Development Corporation,Power generation,Renewable energy,-,1976,"Electricity, part of Lopez Group"
Enfant Philippines,Consumer goods,Apparel retailers,Manila,1995,Baby goods and apparel
ePLDT Ventus,Industrials,Business support services,Makati,2001,Contact centers
Fil-Asian Airways,Consumer services,Airlines,Cebu,2011,"Airline, defunct 2014"
Filinvest,Conglomerates,-,Taguig,1955,"Real estate, hotels, tourism, banking"
First Philippine Holdings Corporation,Conglomerate,Power generation and distribution,Pasig,1961,"Electricity, part of Lopez Group"
G Sat,Telecommunications,Mobile telecommunications,Makati,2009,Satellite television
Gerry's Grill,Consumer services,Restaurants & bars,Quezon City,1997,Restaurant
"Ginebra San Miguel, Inc.",Consumer goods,Distilled beverages,Mandaluyong,1902,"Liquor, part of San Miguel Food and Beverage"
Globe Telecom,Telecommunications,Fixed line telecommunications,Taguig,1935,"Telecom and broadband, part of Ayala Corporation"
GMA Music,Consumer services,Broadcasting & entertainment,Quezon City,1995,Record label part of GMA Network
GMA Network Films,Consumer services,Broadcasting & entertainment,Quezon City,1995,Film and television productions and distribution part of GMA Network
GMA New Media,Consumer services,Broadcasting & entertainment,Quezon City,2000,Digital Media and technology part of GMA Network
GMA Network,Mass Media,Broadcasting & entertainment,Quezon City,1950,"Broadcasting, radio, streaming, television, films, music, television program, Web portals, talent agency, consumer products and services"
GMA Worldwide,Consumer services,Broadcasting & entertainment,Quezon City,1996,International television distribution part of GMA Network
Go Nuts Donuts,Consumer services,Restaurants & bars,Manila,2003,Shop chain
The IdeaFirst Company,Consumer services,Entertainment,Quezon City,2014,Television and film production
Insular Life,Financials,Full line insurance,Alabang,1910,Insurance
"Integrated Micro-Electronics, Inc.",Industrials,Electronic equipment,Biñan,1980,"Electronics, part of Ayala Group"
Intercontinental Broadcasting Corporation,Consumer services,Broadcasting & entertainment,Quezon City,1960,State broadcaster
Interisland Airlines,Consumer services,Airlines,Pasay,2014,Airline
Isetann Department Store,Consumer services,Broadline retailers,Manila,1979,Retail stores
JG Summit Holdings,Conglomerates,-,Pasig,1957,"Financials, industrials, power, chemicals"
Jollibee Foods Corporation,Consumer services,Restaurants & bars,Quezon City,1978,Fast food
Land Bank of the Philippines,Financials,Banks,Manila,1963,Main government bank
LBC Express,Industrials,Delivery services,Pasay,1945,Cargo and courier services
Lopez Holdings Corporation,Conglomerate,-,Pasig,1928,"Media, telecommunications, power generation, financials"
Lung Center of the Philippines,Health care,Health care providers,Quezon City,1981,Hospital
Macay Holdings,Consumer goods,Soft drinks,Makati,2014,Beverages
